table,seq,column,is_pk,is_fk,id,type,size,description
grads,1,id,1,,t000002J01,INTEGER,,2012-13 Year of Graduate Data
grads,22,cds_code,,,c000002J0100m,INTEGER64,14,CDS_CODE
grads,23,ethnic,,,c000002J0100n,INTEGER,1,ETHNIC
grads,24,gender,,,c000002J0100o,VARCHAR,1,GENDER
grads,25,grads,,,c000002J0100p,INTEGER,3,GRADS
grads,26,uc_grads,,,c000002J0100q,INTEGER,3,UC_GRADS
grads,27,year,,,c000002J0100r,INTEGER,4,YEAR
