header,col
agecat,
geocat,
iprcat,
name,
nic,
nic_moe,
nipr,
nipr_moe,
nui,
nui_moe,
pctic,
pctic_moe,
pctui,
pctui_moe,
racecat,
sexcat,
stcou,
year,
