CDS_CODE,ETHNIC,GENDER,GRADS,UC_GRADS,YEAR
01100170130401,2,F,0,0,9798
01100170130401,2,M,7,0,9798
01100170130401,6,F,0,0,9798
01100170130401,6,M,17,0,9798
01100170130401,4,F,0,0,9798
01100170130401,4,M,0,0,9798
01100170130401,5,F,0,0,9798
01100170130401,5,M,12,0,9798
01100170130401,1,F,0,0,9798
01100170130401,8,F,0,0,9798
01100170130401,7,F,0,0,9798
01100170130401,7,M,5,0,9798
01100170130419,2,F,1,0,9798
01100170130419,2,M,1,0,9798
01100170130419,6,F,0,0,9798
01100170130419,6,M,4,0,9798
01100170130419,4,M,0,0,9798
01100170130419,5,F,1,0,9798
01100170130419,5,M,1,0,9798
01100170130419,7,F,0,0,9798
01100170130419,7,M,2,0,9798
01100170130427,2,F,0,0,9798
01100170130427,6,F,1,0,9798
01100170130427,4,F,0,0,9798
01100170130427,4,M,0,0,9798
01100170130427,5,F,2,0,9798
01100170130427,7,F,1,0,9798
01100170130427,7,M,0,0,9798
01100176114896,2,M,0,0,9798
01100176114896,6,F,0,0,9798
01100176114896,6,M,0,0,9798
01100176114896,5,F,0,0,9798
01100176114896,5,M,0,0,9798
01100176114896,8,F,0,0,9798
01100176114896,8,M,0,0,9798
01100176114896,7,F,0,0,9798
01100176114896,7,M,0,0,9798
01611190130229,2,F,58,18,9798
01611190130229,2,M,57,12,9798
01611190130229,6,F,9,2,9798
01611190130229,6,M,6,0,9798
01611190130229,4,F,13,5,9798
01611190130229,4,M,15,3,9798
01611190130229,5,F,9,0,9798
01611190130229,5,M,7,0,9798
01611190130229,1,F,1,1,9798
01611190130229,1,M,1,0,9798
01611190130229,8,F,6,0,9798
01611190130229,8,M,2,1,9798
01611190130229,3,F,1,0,9798
01611190130229,3,M,0,0,9798
01611190130229,7,F,51,27,9798
01611190130229,7,M,51,10,9798
01611190132878,2,F,26,4,9798
01611190132878,2,M,31,4,9798
01611190132878,6,F,28,2,9798
01611190132878,6,M,29,8,9798
01611190132878,4,F,17,4,9798
01611190132878,4,M,12,2,9798
01611190132878,5,F,11,3,9798
01611190132878,5,M,11,2,9798
01611190132878,1,F,0,0,9798
01611190132878,1,M,1,0,9798
01611190132878,8,F,8,3,9798
01611190132878,8,M,1,0,9798
01611190132878,3,F,1,0,9798
01611190132878,3,M,2,0,9798
01611190132878,7,F,28,6,9798
01611190132878,7,M,21,3,9798
01611190134304,2,F,0,0,9798
01611190134304,2,M,2,0,9798
01611190134304,6,F,6,0,9798
01611190134304,6,M,4,0,9798
01611190134304,4,F,0,0,9798
01611190134304,4,M,6,0,9798
01611190134304,5,F,3,0,9798
01611190134304,5,M,6,0,9798
01611190134304,1,F,0,0,9798
01611190134304,1,M,0,0,9798
01611190134304,8,F,0,0,9798
01611190134304,8,M,0,0,9798
01611190134304,3,F,0,0,9798
01611190134304,3,M,0,0,9798
01611190134304,7,F,5,0,9798
01611190134304,7,M,4,0,9798
01611196000004,2,F,0,0,9798
01611196000004,2,M,0,0,9798
01611196000004,6,F,0,0,9798
01611196000004,6,M,0,0,9798
01611196000004,4,F,0,0,9798
01611196000004,4,M,0,0,9798
01611196000004,5,F,0,0,9798
01611196000004,5,M,0,0,9798
01611196000004,1,F,0,0,9798
01611196000004,1,M,0,0,9798
01611196000004,8,F,0,0,9798
01611196000004,8,M,0,0,9798
01611196000004,3,F,0,0,9798
01611196000004,3,M,0,0,9798
01611196000004,7,F,0,0,9798
