CDS_CODE,ETHNIC,GENDER,GRADS,UC_GRADS,YEAR
01100170130401,2,F,0,0,9900
01100170130401,2,M,4,0,9900
01100170130401,6,F,2,0,9900
01100170130401,6,M,8,0,9900
01100170130401,4,M,0,0,9900
01100170130401,5,F,0,0,9900
01100170130401,5,M,10,0,9900
01100170130401,1,M,0,0,9900
01100170130401,8,F,0,0,9900
01100170130401,8,M,0,0,9900
01100170130401,3,M,0,0,9900
01100170130401,7,F,0,0,9900
01100170130401,7,M,4,0,9900
01100170130419,2,F,0,0,9900
01100170130419,2,M,0,0,9900
01100170130419,6,F,0,0,9900
01100170130419,6,M,1,0,9900
01100170130419,5,F,1,0,9900
01100170130419,5,M,1,0,9900
01100170130419,1,M,0,0,9900
01100170130419,8,M,0,0,9900
01100170130419,7,F,2,0,9900
01100170130419,7,M,2,0,9900
01100170130427,2,F,0,0,9900
01100170130427,6,F,3,0,9900
01100170130427,5,F,13,0,9900
01100170130427,8,F,0,0,9900
01100170130427,7,F,0,0,9900
01316090131755,2,F,0,0,9900
01316090131755,2,M,0,0,9900
01316090131755,6,F,0,0,9900
01316090131755,6,M,0,0,9900
01316090131755,4,F,0,0,9900
01316090131755,4,M,0,0,9900
01316090131755,5,F,0,0,9900
01316090131755,5,M,1,0,9900
01316090131755,1,F,1,0,9900
01316090131755,1,M,0,0,9900
01316090131755,8,F,0,0,9900
01316090131755,8,M,0,0,9900
01316090131755,7,F,1,0,9900
01316090131755,7,M,1,0,9900
01316170131763,2,F,0,0,9900
01316170131763,2,M,5,0,9900
01316170131763,6,F,3,0,9900
01316170131763,6,M,0,0,9900
01316170131763,4,F,0,0,9900
01316170131763,4,M,2,0,9900
01316170131763,5,F,5,0,9900
01316170131763,5,M,6,0,9900
01316170131763,1,F,1,0,9900
01316170131763,1,M,2,0,9900
01316170131763,8,F,0,0,9900
01316170131763,8,M,0,0,9900
01316170131763,3,F,0,0,9900
01316170131763,3,M,0,0,9900
01316170131763,7,F,10,0,9900
01316170131763,7,M,3,0,9900
01611190130229,2,F,64,51,9900
01611190130229,2,M,59,35,9900
01611190130229,6,F,11,5,9900
01611190130229,6,M,7,2,9900
01611190130229,4,F,12,8,9900
01611190130229,4,M,18,6,9900
01611190130229,5,F,8,1,9900
01611190130229,5,M,15,10,9900
01611190130229,1,F,1,0,9900
01611190130229,1,M,3,2,9900
01611190130229,8,F,9,3,9900
01611190130229,8,M,3,1,9900
01611190130229,3,F,1,0,9900
01611190130229,3,M,2,1,9900
01611190130229,7,F,59,37,9900
01611190130229,7,M,67,4,9900
01611190132878,2,F,22,7,9900
01611190132878,2,M,22,7,9900
01611190132878,6,F,37,15,9900
01611190132878,6,M,33,9,9900
01611190132878,4,F,17,6,9900
01611190132878,4,M,14,8,9900
01611190132878,5,F,21,3,9900
01611190132878,5,M,14,3,9900
01611190132878,1,F,2,0,9900
01611190132878,1,M,3,0,9900
01611190132878,8,F,4,3,9900
01611190132878,8,M,5,1,9900
01611190132878,3,F,3,0,9900
01611190132878,3,M,3,0,9900
01611190132878,7,F,43,22,9900
01611190132878,7,M,28,5,9900
01611190134304,2,F,2,0,9900
01611190134304,2,M,2,0,9900
01611190134304,6,F,2,0,9900
01611190134304,6,M,4,0,9900
01611190134304,4,F,0,0,9900
01611190134304,4,M,0,0,9900
01611190134304,5,F,5,0,9900
01611190134304,5,M,6,0,9900
01611190134304,1,F,1,0,9900
01611190134304,1,M,3,0,9900
01611190134304,8,F,2,0,9900
