CDS_CODE,ETHNIC,GENDER,GRADS,UC_GRADS,YEAR
01100170130401,2,F,0,0,9495
01100170130401,2,M,0,0,9495
01100170130401,6,F,0,0,9495
01100170130401,6,M,0,0,9495
01100170130401,4,F,0,0,9495
01100170130401,4,M,0,0,9495
01100170130401,5,F,0,0,9495
01100170130401,5,M,0,0,9495
01100170130401,1,M,0,0,9495
01100170130401,7,F,0,0,9495
01100170130401,7,M,0,0,9495
01100170130427,2,F,0,0,9495
01100170130427,6,F,0,0,9495
01100170130427,6,M,0,0,9495
01100170130427,4,F,1,0,9495
01100170130427,5,F,2,0,9495
01100170130427,1,F,0,0,9495
01100170130427,7,F,14,1,9495
01611190130229,2,F,36,27,9495
01611190130229,2,M,36,23,9495
01611190130229,6,F,4,2,9495
01611190130229,6,M,5,2,9495
01611190130229,4,F,13,9,9495
01611190130229,4,M,16,7,9495
01611190130229,5,F,8,3,9495
01611190130229,5,M,8,2,9495
01611190130229,1,F,1,0,9495
01611190130229,1,M,0,0,9495
01611190130229,3,F,2,0,9495
01611190130229,3,M,1,1,9495
01611190130229,7,F,57,45,9495
01611190130229,7,M,74,37,9495
01611190132878,2,F,28,18,9495
01611190132878,2,M,28,9,9495
01611190132878,6,F,18,6,9495
01611190132878,6,M,13,4,9495
01611190132878,4,F,21,4,9495
01611190132878,4,M,13,4,9495
01611190132878,5,F,9,2,9495
01611190132878,5,M,22,8,9495
01611190132878,1,F,0,0,9495
01611190132878,1,M,0,0,9495
01611190132878,3,F,2,0,9495
01611190132878,3,M,1,0,9495
01611190132878,7,F,40,23,9495
01611190132878,7,M,39,12,9495
01611190134304,2,F,1,0,9495
01611190134304,2,M,0,0,9495
01611190134304,6,F,3,0,9495
01611190134304,6,M,4,0,9495
01611190134304,4,F,1,0,9495
01611190134304,4,M,2,0,9495
01611190134304,5,F,8,0,9495
01611190134304,5,M,3,0,9495
01611190134304,1,F,0,0,9495
01611190134304,1,M,0,0,9495
01611190134304,3,F,0,0,9495
01611190134304,3,M,0,0,9495
01611190134304,7,F,7,0,9495
01611190134304,7,M,7,0,9495
01611196000004,2,F,0,0,9495
01611196000004,2,M,0,0,9495
01611196000004,6,F,0,0,9495
01611196000004,6,M,0,0,9495
01611196000004,4,F,0,0,9495
01611196000004,4,M,0,0,9495
01611196000004,5,F,0,0,9495
01611196000004,5,M,0,0,9495
01611196000004,1,F,0,0,9495
01611196000004,1,M,0,0,9495
01611196000004,3,F,0,0,9495
01611196000004,3,M,0,0,9495
01611196000004,7,F,0,0,9495
01611196000004,7,M,0,0,9495
01611196090005,2,F,0,0,9495
01611196090005,2,M,0,0,9495
01611196090005,6,F,0,0,9495
01611196090005,6,M,0,0,9495
01611196090005,4,F,0,0,9495
01611196090005,4,M,0,0,9495
01611196090005,5,F,0,0,9495
01611196090005,5,M,0,0,9495
01611196090005,1,F,0,0,9495
01611196090005,1,M,0,0,9495
01611196090005,3,F,0,0,9495
01611196090005,3,M,0,0,9495
01611196090005,7,F,0,0,9495
01611196090005,7,M,0,0,9495
01611196090013,2,F,0,0,9495
01611196090013,2,M,0,0,9495
01611196090013,6,F,0,0,9495
01611196090013,6,M,0,0,9495
01611196090013,4,F,0,0,9495
01611196090013,4,M,0,0,9495
01611196090013,5,F,0,0,9495
01611196090013,5,M,0,0,9495
01611196090013,1,F,0,0,9495
01611196090013,3,F,0,0,9495
01611196090013,3,M,0,0,9495
01611196090013,7,F,0,0,9495
