CDS_CODE,ETHNIC,GENDER,GRADS,UC_GRADS,YEAR
01100170130401,2,M,13,0,9899
01100170130401,6,F,0,0,9899
01100170130401,6,M,29,0,9899
01100170130401,4,M,1,0,9899
01100170130401,5,F,0,0,9899
01100170130401,5,M,6,0,9899
01100170130401,1,M,0,0,9899
01100170130401,3,F,0,0,9899
01100170130401,3,M,0,0,9899
01100170130401,7,F,0,0,9899
01100170130401,7,M,6,0,9899
01100170130419,2,F,0,0,9899
01100170130419,6,F,0,0,9899
01100170130419,6,M,0,0,9899
01100170130419,5,F,0,0,9899
01100170130419,5,M,0,0,9899
01100170130419,7,F,0,0,9899
01100170130419,7,M,1,0,9899
01100170130427,2,F,0,0,9899
01100170130427,6,F,4,0,9899
01100170130427,4,F,0,0,9899
01100170130427,5,F,9,0,9899
01100170130427,1,F,0,0,9899
01100170130427,7,F,3,0,9899
01100176114896,2,M,0,0,9899
01100176114896,6,F,0,0,9899
01100176114896,6,M,0,0,9899
01100176114896,5,F,0,0,9899
01100176114896,5,M,0,0,9899
01100176114896,1,F,0,0,9899
01100176114896,1,M,0,0,9899
01100176114896,8,F,0,0,9899
01100176114896,8,M,0,0,9899
01100176114896,3,M,0,0,9899
01100176114896,7,F,0,0,9899
01611190130229,2,F,52,26,9899
01611190130229,2,M,56,18,9899
01611190130229,6,F,6,1,9899
01611190130229,6,M,12,4,9899
01611190130229,4,F,15,8,9899
01611190130229,4,M,22,6,9899
01611190130229,5,F,16,6,9899
01611190130229,5,M,15,1,9899
01611190130229,1,F,1,0,9899
01611190130229,1,M,0,0,9899
01611190130229,8,F,6,3,9899
01611190130229,8,M,7,0,9899
01611190130229,3,F,2,0,9899
01611190130229,3,M,0,0,9899
01611190130229,7,F,75,30,9899
01611190130229,7,M,55,20,9899
01611190132878,2,F,27,9,9899
01611190132878,2,M,15,5,9899
01611190132878,6,F,28,3,9899
01611190132878,6,M,20,9,9899
01611190132878,4,F,13,6,9899
01611190132878,4,M,22,8,9899
01611190132878,5,F,10,3,9899
01611190132878,5,M,12,3,9899
01611190132878,1,F,1,0,9899
01611190132878,1,M,1,0,9899
01611190132878,8,F,6,1,9899
01611190132878,8,M,4,0,9899
01611190132878,3,F,1,1,9899
01611190132878,3,M,3,1,9899
01611190132878,7,F,23,11,9899
01611190132878,7,M,21,10,9899
01611190134304,2,F,2,0,9899
01611190134304,2,M,1,0,9899
01611190134304,6,F,0,0,9899
01611190134304,6,M,4,0,9899
01611190134304,4,F,1,0,9899
01611190134304,4,M,0,0,9899
01611190134304,5,F,0,0,9899
01611190134304,5,M,2,0,9899
01611190134304,1,F,0,0,9899
01611190134304,1,M,1,0,9899
01611190134304,8,F,0,0,9899
01611190134304,8,M,1,0,9899
01611190134304,3,F,2,0,9899
01611190134304,3,M,0,0,9899
01611190134304,7,F,1,0,9899
01611190134304,7,M,7,0,9899
01611196000004,2,F,0,0,9899
01611196000004,2,M,0,0,9899
01611196000004,6,F,0,0,9899
01611196000004,6,M,0,0,9899
01611196000004,4,F,0,0,9899
01611196000004,4,M,0,0,9899
01611196000004,5,F,0,0,9899
01611196000004,5,M,0,0,9899
01611196000004,1,F,0,0,9899
01611196000004,1,M,0,0,9899
01611196000004,8,F,0,0,9899
01611196000004,8,M,0,0,9899
01611196000004,3,F,0,0,9899
01611196000004,3,M,0,0,9899
01611196000004,7,F,0,0,9899
01611196000004,7,M,0,0,9899
01611196090005,2,F,0,0,9899
01611196090005,2,M,0,0,9899
