CDS_CODE,ETHNIC,GENDER,GRADS,UC_GRADS,YEAR
01100170130401,2,M,0,0,9293
01100170130401,6,F,0,0,9293
01100170130401,6,M,0,0,9293
01100170130401,4,M,0,0,9293
01100170130401,5,F,0,0,9293
01100170130401,5,M,0,0,9293
01100170130401,1,M,0,0,9293
01100170130401,3,F,0,0,9293
01100170130401,3,M,0,0,9293
01100170130401,7,F,0,0,9293
01100170130401,7,M,0,0,9293
01100170130427,2,F,0,0,9293
01100170130427,6,F,18,17,9293
01100170130427,5,F,13,7,9293
01100170130427,1,F,1,0,9293
01100170130427,3,F,0,0,9293
01100170130427,7,F,15,4,9293
01611190130229,2,F,33,19,9293
01611190130229,2,M,39,26,9293
01611190130229,6,F,1,1,9293
01611190130229,6,M,4,2,9293
01611190130229,4,F,11,4,9293
01611190130229,4,M,9,8,9293
01611190130229,5,F,8,6,9293
01611190130229,5,M,14,7,9293
01611190130229,1,F,1,0,9293
01611190130229,1,M,0,0,9293
01611190130229,3,F,3,0,9293
01611190130229,3,M,0,0,9293
01611190130229,7,F,76,47,9293
01611190130229,7,M,80,35,9293
01611190130476,4,F,0,0,9293
01611190130476,4,M,0,0,9293
01611190130476,5,F,0,0,9293
01611190130476,7,F,0,0,9293
01611190130476,7,M,0,0,9293
01611190132878,2,F,17,13,9293
01611190132878,2,M,19,14,9293
01611190132878,6,F,14,2,9293
01611190132878,6,M,21,6,9293
01611190132878,4,F,26,5,9293
01611190132878,4,M,14,3,9293
01611190132878,5,F,13,3,9293
01611190132878,5,M,12,1,9293
01611190132878,1,F,0,0,9293
01611190132878,1,M,0,0,9293
01611190132878,3,F,4,0,9293
01611190132878,3,M,2,1,9293
01611190132878,7,F,36,18,9293
01611190132878,7,M,24,8,9293
01611190134304,2,F,0,0,9293
01611190134304,2,M,5,0,9293
01611190134304,6,F,3,0,9293
01611190134304,6,M,5,0,9293
01611190134304,4,F,1,0,9293
01611190134304,4,M,2,0,9293
01611190134304,5,F,3,0,9293
01611190134304,5,M,1,0,9293
01611190134304,1,F,1,0,9293
01611190134304,1,M,0,0,9293
01611190134304,3,F,0,0,9293
01611190134304,3,M,1,0,9293
01611190134304,7,F,15,0,9293
01611190134304,7,M,6,0,9293
01611196000004,2,F,0,0,9293
01611196000004,2,M,0,0,9293
01611196000004,6,F,0,0,9293
01611196000004,6,M,0,0,9293
01611196000004,4,F,0,0,9293
01611196000004,4,M,0,0,9293
01611196000004,5,F,0,0,9293
01611196000004,5,M,0,0,9293
01611196000004,1,F,0,0,9293
01611196000004,1,M,0,0,9293
01611196000004,3,F,0,0,9293
01611196000004,3,M,0,0,9293
01611196000004,7,F,0,0,9293
01611196000004,7,M,0,0,9293
01611196090005,2,F,0,0,9293
01611196090005,2,M,0,0,9293
01611196090005,6,F,0,0,9293
01611196090005,6,M,0,0,9293
01611196090005,4,F,0,0,9293
01611196090005,4,M,0,0,9293
01611196090005,5,F,0,0,9293
01611196090005,5,M,0,0,9293
01611196090005,1,F,0,0,9293
01611196090005,1,M,0,0,9293
01611196090005,3,F,0,0,9293
01611196090005,3,M,0,0,9293
01611196090005,7,F,0,0,9293
01611196090005,7,M,0,0,9293
01611196090013,2,F,0,0,9293
01611196090013,2,M,0,0,9293
01611196090013,6,F,0,0,9293
01611196090013,6,M,0,0,9293
01611196090013,4,F,0,0,9293
01611196090013,4,M,0,0,9293
01611196090013,5,F,0,0,9293
01611196090013,5,M,0,0,9293
