CDS_CODE,ETHNIC,GENDER,GRADS,UC_GRADS,YEAR
01100170109835,2,F,1,0,0405
01100170109835,2,M,0,0,0405
01100170109835,6,F,0,0,0405
01100170109835,6,M,2,0,0405
01100170109835,4,F,0,0,0405
01100170109835,4,M,0,0,0405
01100170109835,5,F,3,2,0405
01100170109835,5,M,3,2,0405
01100170109835,1,F,0,0,0405
01100170109835,1,M,1,0,0405
01100170109835,8,F,7,6,0405
01100170109835,8,M,2,0,0405
01100170109835,3,F,1,0,0405
01100170109835,3,M,0,0,0405
01100170109835,7,F,8,5,0405
01100170109835,7,M,7,4,0405
01100170130401,2,F,0,0,0405
01100170130401,2,M,0,0,0405
01100170130401,6,F,0,0,0405
01100170130401,6,M,4,0,0405
01100170130401,4,M,0,0,0405
01100170130401,5,F,0,0,0405
01100170130401,5,M,2,0,0405
01100170130401,1,M,0,0,0405
01100170130401,8,M,0,0,0405
01100170130401,3,M,0,0,0405
01100170130401,7,F,0,0,0405
01100170130401,7,M,1,0,0405
01100170130419,2,F,0,0,0405
01100170130419,2,M,3,0,0405
01100170130419,6,F,1,0,0405
01100170130419,6,M,2,0,0405
01100170130419,4,M,0,0,0405
01100170130419,5,F,4,0,0405
01100170130419,5,M,3,0,0405
01100170130419,1,M,0,0,0405
01100170130419,8,F,0,0,0405
01100170130419,8,M,0,0,0405
01100170130419,3,F,0,0,0405
01100170130419,3,M,0,0,0405
01100170130419,7,F,5,0,0405
01100170130419,7,M,6,0,0405
01100170130427,2,F,1,0,0405
01100170130427,6,F,19,0,0405
01100170130427,6,M,0,0,0405
01100170130427,4,F,1,0,0405
01100170130427,5,F,23,0,0405
01100170130427,5,M,0,0,0405
01100170130427,1,F,1,0,0405
01100170130427,8,F,1,0,0405
01100170130427,3,F,0,0,0405
01100170130427,7,F,1,0,0405
01316090131755,2,F,0,0,0405
01316090131755,2,M,0,0,0405
01316090131755,6,F,0,0,0405
01316090131755,6,M,0,0,0405
01316090131755,4,F,0,0,0405
01316090131755,4,M,0,0,0405
01316090131755,5,F,0,0,0405
01316090131755,5,M,0,0,0405
01316090131755,1,F,0,0,0405
01316090131755,8,F,0,0,0405
01316090131755,8,M,0,0,0405
01316090131755,3,F,0,0,0405
01316090131755,7,F,2,0,0405
01316090131755,7,M,0,0,0405
01316170131763,2,F,1,0,0405
01316170131763,2,M,1,0,0405
01316170131763,6,F,3,0,0405
01316170131763,6,M,2,0,0405
01316170131763,4,F,0,0,0405
01316170131763,4,M,0,0,0405
01316170131763,5,F,8,0,0405
01316170131763,5,M,7,0,0405
01316170131763,1,F,0,0,0405
01316170131763,1,M,0,0,0405
01316170131763,8,F,0,0,0405
01316170131763,8,M,0,0,0405
01316170131763,3,F,0,0,0405
01316170131763,3,M,0,0,0405
01316170131763,7,F,8,0,0405
01316170131763,7,M,11,0,0405
01611190106401,2,F,0,0,0405
01611190106401,2,M,0,0,0405
01611190106401,6,F,0,0,0405
01611190106401,6,M,0,0,0405
01611190106401,4,F,0,0,0405
01611190106401,4,M,0,0,0405
01611190106401,5,F,0,0,0405
01611190106401,5,M,0,0,0405
01611190106401,3,M,0,0,0405
01611190106401,7,F,0,0,0405
01611190106401,7,M,0,0,0405
01611190130229,2,F,99,46,0405
01611190130229,2,M,67,23,0405
01611190130229,6,F,16,5,0405
01611190130229,6,M,9,1,0405
01611190130229,4,F,10,2,0405
01611190130229,4,M,8,2,0405
01611190130229,5,F,16,2,0405
