CDS_CODE,ETHNIC,GENDER,GRADS,UC_GRADS,YEAR
01100170109835,2,F,11,1,0809
01100170109835,2,M,4,2,0809
01100170109835,6,F,5,0,0809
01100170109835,6,M,4,0,0809
01100170109835,0,F,4,0,0809
01100170109835,0,M,2,0,0809
01100170109835,4,F,1,0,0809
01100170109835,4,M,1,0,0809
01100170109835,5,F,6,0,0809
01100170109835,5,M,3,0,0809
01100170109835,1,M,1,0,0809
01100170109835,3,M,1,0,0809
01100170109835,7,F,10,4,0809
01100170109835,7,M,14,2,0809
01100170130401,6,M,3,0,0809
01100170130401,5,M,1,0,0809
01100170130401,7,M,1,0,0809
01100170130419,2,M,1,0,0809
01100170130419,6,F,2,0,0809
01100170130419,6,M,4,0,0809
01100170130419,4,M,1,0,0809
01100170130419,5,F,6,0,0809
01100170130419,5,M,11,0,0809
01100170130419,9,M,1,0,0809
01100170130419,7,F,2,0,0809
01100170130419,7,M,2,0,0809
01100170130427,6,F,10,0,0809
01100170130427,4,F,1,0,0809
01100170130427,5,F,12,0,0809
01100170130427,1,F,1,0,0809
01100170130427,7,F,1,0,0809
01316170131763,2,F,2,0,0809
01316170131763,6,F,3,0,0809
01316170131763,6,M,1,0,0809
01316170131763,7,F,8,0,0809
01316170131763,7,M,7,0,0809
01611190000001,6,M,1,0,0809
01611190106401,2,F,7,7,0809
01611190106401,2,M,1,1,0809
01611190106401,6,M,1,1,0809
01611190106401,4,F,1,1,0809
01611190106401,4,M,1,0,0809
01611190106401,5,F,1,1,0809
01611190130229,2,F,96,77,0809
01611190130229,2,M,103,59,0809
01611190130229,6,F,14,5,0809
01611190130229,6,M,7,2,0809
01611190130229,4,F,12,9,0809
01611190130229,4,M,12,5,0809
01611190130229,5,F,16,4,0809
01611190130229,5,M,21,3,0809
01611190130229,1,F,1,1,0809
01611190130229,3,M,1,0,0809
01611190130229,7,F,71,50,0809
01611190130229,7,M,60,24,0809
01611190130609,2,F,1,1,0809
01611190130609,2,M,2,2,0809
01611190130609,6,F,3,3,0809
01611190130609,4,M,1,1,0809
01611190130609,5,M,1,1,0809
01611190130609,7,F,9,9,0809
01611190130609,7,M,11,11,0809
01611190130625,6,F,1,1,0809
01611190130625,5,F,2,2,0809
01611190130625,5,M,2,2,0809
01611190130625,7,M,2,2,0809
01611190132878,2,F,31,23,0809
01611190132878,2,M,36,26,0809
01611190132878,6,F,18,7,0809
01611190132878,6,M,14,5,0809
01611190132878,0,F,1,1,0809
01611190132878,0,M,3,0,0809
01611190132878,4,F,21,11,0809
01611190132878,4,M,18,7,0809
01611190132878,5,F,14,4,0809
01611190132878,5,M,12,4,0809
01611190132878,1,F,1,1,0809
01611190132878,3,F,2,1,0809
01611190132878,3,M,1,1,0809
01611190132878,7,F,25,13,0809
01611190132878,7,M,15,5,0809
01611190134304,2,F,1,0,0809
01611190134304,2,M,4,0,0809
01611190134304,6,F,3,0,0809
01611190134304,6,M,5,0,0809
01611190134304,0,F,1,0,0809
01611190134304,4,M,9,0,0809
01611190134304,5,F,7,0,0809
01611190134304,5,M,9,0,0809
01611190134304,3,F,3,0,0809
01611190134304,3,M,1,0,0809
01611190134304,7,F,7,0,0809
01611190134304,7,M,11,0,0809
01611270130294,2,F,1,0,0809
01611270130294,2,M,2,0,0809
01611270130294,6,F,2,0,0809
01611270130294,6,M,1,0,0809
01611270130294,0,M,1,0,0809
01611270130294,4,F,1,0,0809
01611270130294,5,F,3,0,0809
01611270130294,5,M,1,0,0809
