table,seq,column,is_pk,is_fk,id,type,size,description
grads06,4,gender,,,c000002J0d004,VARCHAR,1,GENDER
grads06,5,grads,,,c000002J0d005,INTEGER,3,GRADS
grads06,6,uc_grads,,,c000002J0d006,INTEGER,3,UC_GRADS
grads06,7,year,,,c000002J0d007,VARCHAR,4,YEAR
,,,,,,,,
grads14,1,id,1,,t000002J0e,INTEGER,,2013-14 Year of Graduate Data
grads14,2,cds_code,,,c000002J0e002,INTEGER64,14,CDS_CODE
grads14,3,ethnic,,,c000002J0e003,INTEGER,1,ETHNIC
grads14,4,gender,,,c000002J0e004,VARCHAR,1,GENDER
grads14,5,grads,,,c000002J0e005,INTEGER,3,GRADS
grads14,6,uc_grads,,,c000002J0e006,INTEGER,3,UC_GRADS
grads14,7,year,,,c000002J0e007,VARCHAR,4,YEAR
,,,,,,,,
grads00,1,id,1,,t000002J0f,INTEGER,,1999-2000 Year of Graduate Data
grads00,2,cds_code,,,c000002J0f002,INTEGER64,14,CDS_CODE
grads00,3,ethnic,,,c000002J0f003,INTEGER,1,ETHNIC
grads00,4,gender,,,c000002J0f004,VARCHAR,1,GENDER
grads00,5,grads,,,c000002J0f005,INTEGER,3,GRADS
grads00,6,uc_grads,,,c000002J0f006,INTEGER,3,UC_GRADS
grads00,7,year,,,c000002J0f007,VARCHAR,4,YEAR
,,,,,,,,
grads01,1,id,1,,t000002J0g,INTEGER,,2000-01 Year of Graduate Data
grads01,2,cds_code,,,c000002J0g002,INTEGER64,14,CDS_CODE
grads01,3,ethnic,,,c000002J0g003,INTEGER,1,ETHNIC
grads01,4,gender,,,c000002J0g004,VARCHAR,1,GENDER
grads01,5,grads,,,c000002J0g005,INTEGER,3,GRADS
grads01,6,uc_grads,,,c000002J0g006,INTEGER,3,UC_GRADS
grads01,7,year,,,c000002J0g007,VARCHAR,4,YEAR
,,,,,,,,
grads11,1,id,1,,t000002J0h,INTEGER,,2010-11 Year of Graduate Data
grads11,2,cds_code,,,c000002J0h002,INTEGER64,14,CDS_CODE
grads11,3,ethnic,,,c000002J0h003,INTEGER,1,ETHNIC
grads11,4,gender,,,c000002J0h004,VARCHAR,1,GENDER
grads11,5,grads,,,c000002J0h005,INTEGER,3,GRADS
grads11,6,uc_grads,,,c000002J0h006,INTEGER,3,UC_GRADS
grads11,7,year,,,c000002J0h007,VARCHAR,4,YEAR
,,,,,,,,
grads10,1,id,1,,t000002J0i,INTEGER,,2009-10 Year of Graduate Data
grads10,2,cds_code,,,c000002J0i002,INTEGER64,14,CDS_CODE
grads10,3,ethnic,,,c000002J0i003,INTEGER,1,ETHNIC
grads10,4,gender,,,c000002J0i004,VARCHAR,1,GENDER
grads10,5,grads,,,c000002J0i005,INTEGER,3,GRADS
grads10,6,uc_grads,,,c000002J0i006,INTEGER,3,UC_GRADS
grads10,7,year,,,c000002J0i007,VARCHAR,4,YEAR
,,,,,,,,
grads03,1,id,1,,t000002J0j,INTEGER,,2002-03 Year of Graduate Data
grads03,2,cds_code,,,c000002J0j002,INTEGER64,14,CDS_CODE
grads03,3,ethnic,,,c000002J0j003,INTEGER,1,ETHNIC
grads03,4,gender,,,c000002J0j004,VARCHAR,1,GENDER
grads03,5,grads,,,c000002J0j005,INTEGER,3,GRADS
grads03,6,uc_grads,,,c000002J0j006,INTEGER,3,UC_GRADS
grads03,7,year,,,c000002J0j007,VARCHAR,4,YEAR
,,,,,,,,
grads09,1,id,1,,t000002J0k,INTEGER,,2008-09 Year of Graduate Data
grads09,2,cds_code,,,c000002J0k002,INTEGER64,14,CDS_CODE
grads09,3,ethnic,,,c000002J0k003,INTEGER,1,ETHNIC
grads09,4,gender,,,c000002J0k004,VARCHAR,1,GENDER
grads09,5,grads,,,c000002J0k005,INTEGER,3,GRADS
grads09,6,uc_grads,,,c000002J0k006,INTEGER,3,UC_GRADS
grads09,7,year,,,c000002J0k007,VARCHAR,4,YEAR
,,,,,,,,
grads12,1,id,1,,t000002J0l,INTEGER,,2012-13 Year of Graduate Data
grads12,2,cds_code,,,c000002J0l002,INTEGER64,14,CDS_CODE
grads12,3,ethnic,,,c000002J0l003,INTEGER,1,ETHNIC
grads12,4,gender,,,c000002J0l004,VARCHAR,1,GENDER
grads12,5,grads,,,c000002J0l005,INTEGER,3,GRADS
grads12,6,uc_grads,,,c000002J0l006,INTEGER,3,UC_GRADS
grads12,7,year,,,c000002J0l007,VARCHAR,4,YEAR
