CDS_CODE,ETHNIC,GENDER,GRADS,UC_GRADS,YEAR
01100170130401,2,F,0,0,0203
01100170130401,2,M,0,0,0203
01100170130401,6,F,0,0,0203
01100170130401,6,M,3,0,0203
01100170130401,4,F,0,0,0203
01100170130401,4,M,0,0,0203
01100170130401,5,F,0,0,0203
01100170130401,5,M,3,0,0203
01100170130401,8,F,0,0,0203
01100170130401,8,M,0,0,0203
01100170130401,3,M,0,0,0203
01100170130401,7,F,0,0,0203
01100170130401,7,M,2,0,0203
01100170130419,2,F,0,0,0203
01100170130419,2,M,0,0,0203
01100170130419,6,F,1,0,0203
01100170130419,6,M,2,0,0203
01100170130419,4,M,0,0,0203
01100170130419,5,F,0,0,0203
01100170130419,5,M,0,0,0203
01100170130419,8,F,0,0,0203
01100170130419,8,M,0,0,0203
01100170130419,3,F,0,0,0203
01100170130419,7,F,0,0,0203
01100170130419,7,M,1,0,0203
01100170130427,2,F,0,0,0203
01100170130427,6,F,22,0,0203
01100170130427,6,M,0,0,0203
01100170130427,4,F,0,0,0203
01100170130427,5,F,14,0,0203
01100170130427,5,M,1,0,0203
01100170130427,3,F,0,0,0203
01100170130427,7,F,0,0,0203
01316090131755,2,F,0,0,0203
01316090131755,2,M,0,0,0203
01316090131755,6,F,0,0,0203
01316090131755,6,M,0,0,0203
01316090131755,4,F,0,0,0203
01316090131755,4,M,0,0,0203
01316090131755,5,F,0,0,0203
01316090131755,5,M,0,0,0203
01316090131755,1,F,0,0,0203
01316090131755,8,F,0,0,0203
01316090131755,8,M,0,0,0203
01316090131755,3,F,0,0,0203
01316090131755,3,M,0,0,0203
01316090131755,7,F,0,0,0203
01316090131755,7,M,2,0,0203
01316170131763,2,F,4,0,0203
01316170131763,2,M,6,1,0203
01316170131763,6,F,5,0,0203
01316170131763,6,M,2,0,0203
01316170131763,4,F,3,0,0203
01316170131763,4,M,0,0,0203
01316170131763,5,F,3,1,0203
01316170131763,5,M,6,0,0203
01316170131763,1,F,0,0,0203
01316170131763,1,M,2,0,0203
01316170131763,8,M,0,0,0203
01316170131763,3,F,0,0,0203
01316170131763,3,M,0,0,0203
01316170131763,7,F,7,1,0203
01316170131763,7,M,12,2,0203
01611190130229,2,F,72,61,0203
01611190130229,2,M,80,57,0203
01611190130229,6,F,9,6,0203
01611190130229,6,M,6,3,0203
01611190130229,4,F,11,8,0203
01611190130229,4,M,8,4,0203
01611190130229,5,F,18,7,0203
01611190130229,5,M,12,4,0203
01611190130229,1,F,1,1,0203
01611190130229,1,M,0,0,0203
01611190130229,8,F,7,4,0203
01611190130229,8,M,2,0,0203
01611190130229,3,F,1,0,0203
01611190130229,3,M,1,0,0203
01611190130229,7,F,80,56,0203
01611190130229,7,M,65,38,0203
01611190130609,2,F,2,0,0203
01611190130609,2,M,0,0,0203
01611190130609,6,F,1,0,0203
01611190130609,6,M,0,0,0203
01611190130609,4,F,0,0,0203
01611190130609,4,M,1,0,0203
01611190130609,5,F,2,0,0203
01611190130609,5,M,1,0,0203
01611190130609,8,F,0,0,0203
01611190130609,8,M,0,0,0203
01611190130609,7,F,5,0,0203
01611190130609,7,M,5,0,0203
01611190130625,2,F,1,1,0203
01611190130625,6,F,1,0,0203
01611190130625,6,M,0,0,0203
01611190130625,4,F,2,0,0203
01611190130625,4,M,0,0,0203
01611190130625,5,F,1,1,0203
01611190130625,5,M,1,1,0203
01611190130625,8,F,0,0,0203
01611190130625,8,M,1,0,0203
