CDS_CODE,ETHNIC,GENDER,GRADS,UC_GRADS,YEAR
01100170109835,2,F,9,2,0607
01100170109835,6,F,1,1,0607
01100170109835,4,F,1,0,0607
01100170109835,5,F,6,1,0607
01100170109835,5,M,3,0,0607
01100170109835,8,F,5,1,0607
01100170109835,8,M,1,0,0607
01100170109835,7,F,5,1,0607
01100170109835,7,M,7,1,0607
01100170130401,6,M,1,0,0607
01100170130419,2,M,2,0,0607
01100170130419,6,F,2,0,0607
01100170130419,6,M,1,0,0607
01100170130419,4,F,1,0,0607
01100170130419,4,M,1,0,0607
01100170130419,5,F,7,0,0607
01100170130419,5,M,11,0,0607
01100170130419,8,M,1,0,0607
01100170130419,3,F,1,0,0607
01100170130419,7,F,1,0,0607
01100170130419,7,M,5,0,0607
01100170130427,2,F,2,0,0607
01100170130427,2,M,1,0,0607
01100170130427,6,F,8,0,0607
01100170130427,4,F,1,0,0607
01100170130427,5,F,18,0,0607
01100170130427,5,M,1,0,0607
01100170130427,3,F,1,0,0607
01100170130427,7,F,1,0,0607
01316090131755,7,M,1,0,0607
01316170131763,2,F,3,0,0607
01316170131763,2,M,2,0,0607
01316170131763,6,F,2,0,0607
01316170131763,6,M,2,0,0607
01316170131763,4,F,1,0,0607
01316170131763,4,M,1,0,0607
01316170131763,5,F,5,0,0607
01316170131763,5,M,8,0,0607
01316170131763,1,M,1,0,0607
01316170131763,7,F,10,0,0607
01316170131763,7,M,8,0,0607
01611190130229,2,F,97,75,0607
01611190130229,2,M,108,65,0607
01611190130229,6,F,13,5,0607
01611190130229,6,M,10,2,0607
01611190130229,4,F,12,7,0607
01611190130229,4,M,7,3,0607
01611190130229,5,F,19,6,0607
01611190130229,5,M,12,3,0607
01611190130229,1,F,1,0,0607
01611190130229,8,M,1,1,0607
01611190130229,3,F,3,1,0607
01611190130229,3,M,2,1,0607
01611190130229,7,F,70,50,0607
01611190130229,7,M,46,18,0607
01611190130609,2,M,2,0,0607
01611190130609,6,F,1,0,0607
01611190130609,6,M,1,0,0607
01611190130609,4,M,2,0,0607
01611190130609,5,M,2,0,0607
01611190130609,7,F,5,0,0607
01611190130609,7,M,5,0,0607
01611190130625,2,M,1,1,0607
01611190130625,6,M,1,1,0607
01611190130625,5,F,5,4,0607
01611190130625,5,M,2,2,0607
01611190130625,7,M,2,2,0607
01611190132878,2,F,27,24,0607
01611190132878,2,M,26,17,0607
01611190132878,6,F,36,11,0607
01611190132878,6,M,20,3,0607
01611190132878,4,F,20,9,0607
01611190132878,4,M,24,6,0607
01611190132878,5,F,16,6,0607
01611190132878,5,M,14,1,0607
01611190132878,8,F,1,0,0607
01611190132878,8,M,3,1,0607
01611190132878,3,F,1,0,0607
01611190132878,3,M,2,0,0607
01611190132878,7,F,23,11,0607
01611190132878,7,M,21,10,0607
01611190134304,2,F,1,0,0607
01611190134304,2,M,7,0,0607
01611190134304,6,F,5,0,0607
01611190134304,6,M,3,0,0607
01611190134304,4,F,2,0,0607
01611190134304,4,M,2,0,0607
01611190134304,5,F,3,0,0607
01611190134304,5,M,7,0,0607
01611190134304,1,F,2,0,0607
01611190134304,7,F,5,0,0607
01611190134304,7,M,10,0,0607
01611270130294,2,M,1,0,0607
01611270130294,6,F,1,0,0607
01611270130294,6,M,1,0,0607
01611270130294,5,F,3,0,0607
01611270130294,8,M,2,0,0607
01611270130294,7,F,2,0,0607
01611270130294,7,M,2,0,0607
01611270130450,2,F,43,33,0607
