Level,SubGrp,RptType,line_num,Ccode,Dcode,Scode,cds_code,Gr05_Stu,Gr5PctIn,Gr5PctNotIn,Gr07_Stu,Gr7PctIn,Gr7PctNotIn,Gr09_Stu,Gr9PctIn,Gr9PctNotIn
4,0,1,1,00,00000,0000000,00000000000000,447742, 56.1, 43.9,399724, 58.4, 41.6,342308, 49.8, 50.2
4,0,1,2,00,00000,0000000,00000000000000,447742, 66.2, 33.8,399724, 67.3, 32.7,342308, 69.1, 30.9
4,0,1,3,00,00000,0000000,00000000000000,447742, 79.1, 20.9,399724, 81.7, 18.3,342308, 81.0, 19.0
4,0,1,4,00,00000,0000000,00000000000000,447742, 85.1, 14.9,399724, 87.1, 12.9,342308, 83.3, 16.7
4,0,1,5,00,00000,0000000,00000000000000,447742, 62.9, 37.1,399724, 63.0, 37.0,342308, 64.2, 35.8
4,0,1,6,00,00000,0000000,00000000000000,447742, 63.8, 36.2,399724, 69.0, 31.0,342308, 69.0, 31.0
4,0,2,1,00,00000,0000000,00000000000000,95929, 21.4, 21.4,100837, 25.2, 25.2,78790, 23.0, 23.0
4,0,2,2,00,00000,0000000,00000000000000,116024, 25.9, 47.3,106102, 26.5, 51.8,90281, 26.4, 49.4
4,0,2,3,00,00000,0000000,00000000000000,98822, 22.1, 69.4,81617, 20.4, 72.2,72960, 21.3, 70.7
4,0,2,4,00,00000,0000000,00000000000000,68214, 15.2, 84.6,55581, 13.9, 86.1,48075, 14.0, 84.7
4,0,2,5,00,00000,0000000,00000000000000,38607,  8.6, 93.3,31044,  7.8, 93.9,26151,  7.6, 92.4
4,0,2,6,00,00000,0000000,00000000000000,17152,  3.8, 97.1,13688,  3.4, 97.3,12668,  3.7, 96.1
4,0,2,7,00,00000,0000000,00000000000000,12994,  2.9,100.0,10855,  2.7,100.0,13383,  3.9,100.0
4,0,2,8,00,00000,0000000,00000000000000,447742,100.0, ,399724,100.0, ,342308,100.0, 
4,1,3,1,00,00000,0000000,00000000000000,218386, 48.8,  0.0,195978, 49.0,  0.0,166023, 48.5,  0.0
