Ccode,Dcode,Scode,cds_code,County,District,School
01,61200,6001242,01612006001242,Alameda,Livermore Valley Joint Unified,East Avenue Middle
01,61200,6001259,01612006001259,Alameda,Livermore Valley Joint Unified,Emma C. Smith Elementary
01,61200,6001283,01612006001283,Alameda,Livermore Valley Joint Unified,Jackson Avenue Elementary
01,61200,6001291,01612006001291,Alameda,Livermore Valley Joint Unified,Joe Michell Elementary
01,61200,6001309,01612006001309,Alameda,Livermore Valley Joint Unified,Junction Avenue Middle
01,61200,6001317,01612006001317,Alameda,Livermore Valley Joint Unified,Marylin Avenue Elementary
01,61200,6001341,01612006001341,Alameda,Livermore Valley Joint Unified,William Mendenhall Middle
01,61200,6071674,01612006071674,Alameda,Livermore Valley Joint Unified,Arroyo Mocho Elementary
01,61200,6071906,01612006071906,Alameda,Livermore Valley Joint Unified,Arroyo Seco Elementary
01,61200,6085773,01612006085773,Alameda,Livermore Valley Joint Unified,Andrew N. Christensen Middle
01,61200,6089338,01612006089338,Alameda,Livermore Valley Joint Unified,Rancho Las Positas Elementary
01,61200,6097661,01612006097661,Alameda,Livermore Valley Joint Unified,Sunset Elementary
01,61234,0000000,01612340000000,Alameda,Newark Unified,Newark Unified
01,61234,0130054,01612340130054,Alameda,Newark Unified,Newark Memorial High
01,61234,0130484,01612340130484,Alameda,Newark Unified,Crossroads High (Alternative)
01,61234,0135426,01612340135426,Alameda,Newark Unified,Bridgepoint High (Continuation)
01,61234,6001440,01612346001440,Alameda,Newark Unified,August Schilling Elementary
01,61234,6001457,01612346001457,Alameda,Newark Unified,E. L. Musick Elementary
01,61234,6001473,01612346001473,Alameda,Newark Unified,H. A. Snow Elementary
01,61234,6001481,01612346001481,Alameda,Newark Unified,James A. Graham Elementary
