Level,SubGrp,RptType,line_num,Ccode,Dcode,charternum,Scode,cds_code,Gr05_Stu,Gr5PctIn,Gr5PctNotIn,Gr07_Stu,Gr7PctIn,Gr7PctNotIn,Gr09_Stu,Gr9PctIn,Gr9PctNotIn
4,0,1,1,00,00000,0000,0000000,00000000000000,461404, 62.7, 37.3,461235, 62.2, 37.8,447676, 55.5, 44.5
4,0,1,2,00,00000,0000,0000000,00000000000000,461404, 67.9, 32.1,461235, 67.7, 32.3,447676, 68.7, 31.3
4,0,1,3,00,00000,0000,0000000,00000000000000,461404, 80.2, 19.8,461235, 83.5, 16.5,447676, 84.0, 16.0
4,0,1,4,00,00000,0000,0000000,00000000000000,461404, 87.9, 12.1,461235, 89.6, 10.4,447676, 87.9, 12.1
4,0,1,5,00,00000,0000,0000000,00000000000000,461404, 68.5, 31.5,461235, 70.1, 29.9,447676, 72.2, 27.8
4,0,1,6,00,00000,0000,0000000,00000000000000,461404, 68.1, 31.9,461235, 73.9, 26.1,447676, 73.6, 26.4
4,0,2,1,00,00000,0000,0000000,00000000000000,124835, 27.1, 27.1,142497, 30.9, 30.9,134549, 30.1, 30.1
4,0,2,2,00,00000,0000,0000000,00000000000000,121124, 26.3, 53.3,120883, 26.2, 57.1,118683, 26.5, 56.6
4,0,2,3,00,00000,0000,0000000,00000000000000,93312, 20.2, 73.5,87868, 19.1, 76.2,85995, 19.2, 75.8
4,0,2,4,00,00000,0000,0000000,00000000000000,63313, 13.7, 87.3,57764, 12.5, 88.7,54712, 12.2, 88.0
4,0,2,5,00,00000,0000,0000000,00000000000000,36926,  8.0, 95.3,32083,  7.0, 95.6,28145,  6.3, 94.3
4,0,2,6,00,00000,0000,0000000,00000000000000,16571,  3.6, 98.8,14041,  3.0, 98.7,12950,  2.9, 97.2
4,0,2,7,00,00000,0000,0000000,00000000000000,5323,  1.2,100.0,6099,  1.3,100.0,12642,  2.8,100.0
4,0,2,8,00,00000,0000,0000000,00000000000000,461404,100.0, ,461235,100.0, ,447676,100.0, 
4,1,3,1,00,00000,0000,0000000,00000000000000,225935, 49.0,  0.0,225667, 48.9,  0.0,218148, 48.7,  0.0
4,1,3,2,00,00000,0000,0000000,00000000000000,235467, 51.0,  0.0,235567, 51.1,  0.0,229518, 51.3,  0.0
4,1,3,3,00,00000,0000,0000000,00000000000000,2,  0.0,  0.0,1,  0.0,  0.0,10,  0.0,  0.0
4,2,1,1,00,00000,0000,0000000,00000000000000,225935, 65.7, 34.3,225667, 64.7, 35.3,218148, 52.5, 47.5
4,2,1,2,00,00000,0000,0000000,00000000000000,225935, 77.1, 22.9,225667, 73.5, 26.5,218148, 70.5, 29.5
4,2,1,3,00,00000,0000,0000000,00000000000000,225935, 79.5, 20.5,225667, 82.7, 17.3,218148, 83.8, 16.2
4,2,1,4,00,00000,0000,0000000,00000000000000,225935, 88.8, 11.2,225667, 90.6,  9.4,218148, 88.9, 11.1
4,2,1,5,00,00000,0000,0000000,00000000000000,225935, 65.3, 34.7,225667, 68.9, 31.1,218148, 71.9, 28.1
4,2,1,6,00,00000,0000,0000000,00000000000000,225935, 71.7, 28.3,225667, 77.4, 22.6,218148, 74.2, 25.8
4,2,2,1,00,00000,0000,0000000,00000000000000,67446, 29.9, 29.9,75549, 33.5, 33.5,63795, 29.2, 29.2
4,2,2,2,00,00000,0000,0000000,00000000000000,61339, 27.1, 57.0,59686, 26.4, 59.9,58435, 26.8, 56.0
