Level,SubGrp,RptType,line_num,Ccode,Dcode,charternum,Scode,cds_code,Gr05_Stu,Gr5PctIn,Gr5PctNotIn,Gr07_Stu,Gr7PctIn,Gr7PctNotIn,Gr09_Stu,Gr9PctIn,Gr9PctNotIn
4,0,1,1,00,00000,000,0000000,00000000000000,468882, 57.3, 42.7,463105, 58.9, 41.1,399802, 49.4, 50.6
4,0,1,2,00,00000,000,0000000,00000000000000,468882, 66.7, 33.3,463105, 66.8, 33.2,399802, 66.9, 33.1
4,0,1,3,00,00000,000,0000000,00000000000000,468882, 80.5, 19.5,463105, 83.1, 16.9,399802, 79.8, 20.2
4,0,1,4,00,00000,000,0000000,00000000000000,468882, 86.7, 13.3,463105, 88.1, 11.9,399802, 82.3, 17.7
4,0,1,5,00,00000,000,0000000,00000000000000,468882, 65.7, 34.3,463105, 66.8, 33.2,399802, 66.0, 34.0
4,0,1,6,00,00000,000,0000000,00000000000000,468882, 65.8, 34.2,463105, 71.1, 28.9,399802, 68.3, 31.7
4,0,2,1,00,00000,000,0000000,00000000000000,111367, 23.8, 23.8,128548, 27.8, 27.8,99111, 24.8, 24.8
4,0,2,2,00,00000,000,0000000,00000000000000,123818, 26.4, 50.2,123187, 26.6, 54.4,103747, 25.9, 50.7
4,0,2,3,00,00000,000,0000000,00000000000000,98825, 21.1, 71.2,90539, 19.6, 73.9,78138, 19.5, 70.3
4,0,2,4,00,00000,000,0000000,00000000000000,68000, 14.5, 85.7,60778, 13.1, 87.0,50994, 12.8, 83.0
4,0,2,5,00,00000,000,0000000,00000000000000,38974,  8.3, 94.1,33674,  7.3, 94.3,28341,  7.1, 90.1
4,0,2,6,00,00000,000,0000000,00000000000000,17553,  3.7, 97.8,14557,  3.1, 97.4,14149,  3.5, 93.7
4,0,2,7,00,00000,000,0000000,00000000000000,10345,  2.2,100.0,11822,  2.6,100.0,25322,  6.3,100.0
4,0,2,8,00,00000,000,0000000,00000000000000,468882,100.0, ,463105,100.0, ,399802,100.0, 
4,1,3,1,00,00000,000,0000000,00000000000000,229470, 48.9,  0.0,226344, 48.9,  0.0,193720, 48.5,  0.0
4,1,3,2,00,00000,000,0000000,00000000000000,239283, 51.0,  0.0,236540, 51.1,  0.0,205904, 51.5,  0.0
4,1,3,3,00,00000,000,0000000,00000000000000,129,  0.0,  0.0,221,  0.0,  0.0,178,  0.0,  0.0
4,2,1,1,00,00000,000,0000000,00000000000000,229470, 58.0, 42.0,226344, 60.7, 39.3,193720, 45.2, 54.8
4,2,1,2,00,00000,000,0000000,00000000000000,229470, 75.3, 24.7,226344, 72.7, 27.3,193720, 69.0, 31.0
4,2,1,3,00,00000,000,0000000,00000000000000,229470, 79.8, 20.2,226344, 82.6, 17.4,193720, 79.9, 20.1
4,2,1,4,00,00000,000,0000000,00000000000000,229470, 87.3, 12.7,226344, 89.2, 10.8,193720, 83.6, 16.4
4,2,1,5,00,00000,000,0000000,00000000000000,229470, 61.8, 38.2,226344, 64.6, 35.4,193720, 64.6, 35.4
4,2,1,6,00,00000,000,0000000,00000000000000,229470, 69.1, 30.9,226344, 74.8, 25.2,193720, 69.6, 30.4
4,2,2,1,00,00000,000,0000000,00000000000000,57939, 25.2, 25.2,67040, 29.6, 29.6,45125, 23.3, 23.3
4,2,2,2,00,00000,000,0000000,00000000000000,62301, 27.1, 52.4,61669, 27.2, 56.9,51272, 26.5, 49.8
4,2,2,3,00,00000,000,0000000,00000000000000,48513, 21.1, 73.5,44097, 19.5, 76.3,40137, 20.7, 70.5
4,2,2,4,00,00000,000,0000000,00000000000000,31502, 13.7, 87.3,28009, 12.4, 88.7,25470, 13.1, 83.6
4,2,2,5,00,00000,000,0000000,00000000000000,17294,  7.5, 94.8,14530,  6.4, 95.1,13663,  7.1, 90.7
4,2,2,6,00,00000,000,0000000,00000000000000,7445,  3.2, 98.0,6038,  2.7, 97.8,6538,  3.4, 94.1
4,2,2,7,00,00000,000,0000000,00000000000000,4476,  2.0,100.0,4961,  2.2,100.0,11515,  5.9,100.0
4,2,2,8,00,00000,000,0000000,00000000000000,229470,100.0, ,226344,100.0, ,193720,100.0, 
4,3,1,1,00,00000,000,0000000,00000000000000,239283, 56.7, 43.3,236540, 57.3, 42.7,205904, 53.4, 46.6
4,3,1,2,00,00000,000,0000000,00000000000000,239283, 58.5, 41.5,236540, 61.2, 38.8,205904, 65.0, 35.0
4,3,1,3,00,00000,000,0000000,00000000000000,239283, 81.2, 18.8,236540, 83.7, 16.3,205904, 79.8, 20.2
4,3,1,4,00,00000,000,0000000,00000000000000,239283, 86.1, 13.9,236540, 87.2, 12.8,205904, 81.2, 18.8
4,3,1,5,00,00000,000,0000000,00000000000000,239283, 69.5, 30.5,236540, 68.9, 31.1,205904, 67.3, 32.7
