Ccode,Dcode,CharterNum,Scode,cds_code,county,district,School
01,61150,0000,0000000,01611500000000,ALAMEDA,CASTRO VALLEY UNIFIED,CASTRO VALLEY UNIFIED
01,61150,0000,0132225,01611500132225,ALAMEDA,CASTRO VALLEY UNIFIED,CASTRO VALLEY HIGH
01,61150,0000,6090351,01611506090351,ALAMEDA,CASTRO VALLEY UNIFIED,CASTRO VALLEY ELEMENTARY
01,61150,0000,6090369,01611506090369,ALAMEDA,CASTRO VALLEY UNIFIED,CHABOT ELEMENTARY
01,61150,0000,6090385,01611506090385,ALAMEDA,CASTRO VALLEY UNIFIED,CREEKSIDE MIDDLE
01,61150,0000,6090393,01611506090393,ALAMEDA,CASTRO VALLEY UNIFIED,INDEPENDENT ELEMENTARY
01,61150,0000,6090401,01611506090401,ALAMEDA,CASTRO VALLEY UNIFIED,MARSHALL ELEMENTARY
01,61150,0000,6090419,01611506090419,ALAMEDA,CASTRO VALLEY UNIFIED,PALOMARES ELEMENTARY
01,61150,0000,6090435,01611506090435,ALAMEDA,CASTRO VALLEY UNIFIED,PROCTOR ELEMENTARY
01,61150,0000,6090468,01611506090468,ALAMEDA,CASTRO VALLEY UNIFIED,STANTON ELEMENTARY
01,61150,0000,6090484,01611506090484,ALAMEDA,CASTRO VALLEY UNIFIED,VANNOY ELEMENTARY
01,61150,0000,6097653,01611506097653,ALAMEDA,CASTRO VALLEY UNIFIED,CANYON MIDDLE
01,61150,0000,6113005,01611506113005,ALAMEDA,CASTRO VALLEY UNIFIED,JENSEN RANCH (ELEM)
01,61168,0000,0000000,01611680000000,ALAMEDA,EMERY UNIFIED,EMERY UNIFIED
01,61168,0000,0132746,01611680132746,ALAMEDA,EMERY UNIFIED,EMERY SECONDARY
01,61168,0000,6090492,01611686090492,ALAMEDA,EMERY UNIFIED,ANNA YATES ELEMENTARY
01,61168,0000,6113450,01611686113450,ALAMEDA,EMERY UNIFIED,EMERY MIDDLE
01,61176,0000,0000000,01611760000000,ALAMEDA,FREMONT UNIFIED,FREMONT UNIFIED
01,61176,0000,0130062,01611760130062,ALAMEDA,FREMONT UNIFIED,AMERICAN HIGH
01,61176,0000,0130534,01611760130534,ALAMEDA,FREMONT UNIFIED,CIRCLE OF INDEPENDENT LEARNING
01,61176,0000,0134270,01611760134270,ALAMEDA,FREMONT UNIFIED,IRVINGTON HIGH
01,61176,0000,0134452,01611760134452,ALAMEDA,FREMONT UNIFIED,KENNEDY (JOHN F.) HIGH
01,61176,0000,0135244,01611760135244,ALAMEDA,FREMONT UNIFIED,MISSION SAN JOSE HIGH
01,61176,0000,0138693,01611760138693,ALAMEDA,FREMONT UNIFIED,WASHINGTON HIGH
01,61176,0000,6000541,01611766000541,ALAMEDA,FREMONT UNIFIED,BLACOW (JOHN) ELEMENTARY
01,61176,0000,6000558,01611766000558,ALAMEDA,FREMONT UNIFIED,BRIER ELEMENTARY
