Level,SubGrp,RptType,line_num,Ccode,Dcode,charternum,Scode,cds_code,Gr05_Stu,Gr5PctIn,Gr5PctNotIn,Gr07_Stu,Gr7PctIn,Gr7PctNotIn,Gr09_Stu,Gr9PctIn,Gr9PctNotIn
4,0,1,1,00,00000,0000,0000000,00000000000000,472909, 58.4, 41.6,456336, 59.8, 40.2,445038, 50.9, 49.1
4,0,1,2,00,00000,0000,0000000,00000000000000,472909, 66.4, 33.6,456336, 66.7, 33.3,445038, 66.9, 33.1
4,0,1,3,00,00000,0000,0000000,00000000000000,472909, 80.2, 19.8,456336, 83.7, 16.3,445038, 81.3, 18.7
4,0,1,4,00,00000,0000,0000000,00000000000000,472909, 87.4, 12.6,456336, 88.5, 11.5,445038, 84.3, 15.7
4,0,1,5,00,00000,0000,0000000,00000000000000,472909, 66.6, 33.4,456336, 68.5, 31.5,445038, 68.7, 31.3
4,0,1,6,00,00000,0000,0000000,00000000000000,472909, 65.7, 34.3,456336, 71.5, 28.5,445038, 69.3, 30.7
4,0,2,1,00,00000,0000,0000000,00000000000000,115664, 24.5, 24.5,131370, 28.8, 28.8,118721, 26.7, 26.7
4,0,2,2,00,00000,0000,0000000,00000000000000,124294, 26.3, 50.7,121532, 26.6, 55.4,117109, 26.3, 53.0
4,0,2,3,00,00000,0000,0000000,00000000000000,97975, 20.7, 71.5,87979, 19.3, 74.7,85479, 19.2, 72.2
4,0,2,4,00,00000,0000,0000000,00000000000000,67986, 14.4, 85.8,58018, 12.7, 87.4,54035, 12.1, 84.3
4,0,2,5,00,00000,0000,0000000,00000000000000,39727,  8.4, 94.2,32679,  7.2, 94.6,29400,  6.6, 90.9
4,0,2,6,00,00000,0000,0000000,00000000000000,17995,  3.8, 98.0,14282,  3.1, 97.7,14412,  3.2, 94.2
4,0,2,7,00,00000,0000,0000000,00000000000000,9268,  2.0,100.0,10476,  2.3,100.0,25882,  5.8,100.0
4,0,2,8,00,00000,0000,0000000,00000000000000,472909,100.0, ,456336,100.0, ,445038,100.0, 
4,1,3,1,00,00000,0000,0000000,00000000000000,231132, 48.9,  0.0,223461, 49.0,  0.0,216609, 48.7,  0.0
4,1,3,2,00,00000,0000,0000000,00000000000000,241707, 51.1,  0.0,232823, 51.0,  0.0,228299, 51.3,  0.0
4,1,3,3,00,00000,0000,0000000,00000000000000,70,  0.0,  0.0,52,  0.0,  0.0,130,  0.0,  0.0
4,2,1,1,00,00000,0000,0000000,00000000000000,231132, 60.2, 39.8,223461, 61.7, 38.3,216609, 47.9, 52.1
4,2,1,2,00,00000,0000,0000000,00000000000000,231132, 75.4, 24.6,223461, 72.7, 27.3,216609, 69.1, 30.9
4,2,1,3,00,00000,0000,0000000,00000000000000,231132, 79.7, 20.3,223461, 83.1, 16.9,216609, 81.1, 18.9
4,2,1,4,00,00000,0000,0000000,00000000000000,231132, 88.2, 11.8,223461, 89.4, 10.6,216609, 85.5, 14.5
