Level,SubGrp,RptType,Line_num,Ccode,Dcode,Scode,cds_code,Gr05_Stu,Gr5PctIn,Gr5PctNotIn,Gr07_Stu,Gr7PctIn,Gr7PctNotIn,Gr09_Stu,Gr9PctIn,Gr9PctNotIn
4,4,3,2,00,00000,0000000,00000000000000,3878,1.10 ,0.00 ,3347,1.00 ,0.00 ,2823,1.00 ,0.00 
4,4,3,3,00,00000,0000000,00000000000000,29620,8.40 ,0.00 ,27397,8.50 ,0.00 ,25558,9.20 ,0.00 
4,4,3,4,00,00000,0000000,00000000000000,10095,2.90 ,0.00 ,9701,3.00 ,0.00 ,8330,3.00 ,0.00 
4,4,3,5,00,00000,0000000,00000000000000,137351,39.00,0.00 ,119967,37.40,0.00 ,104098,37.60,0.00 
4,4,3,6,00,00000,0000000,00000000000000,4344,1.20 ,0.00 ,4440,1.40 ,0.00 ,3544,1.30 ,0.00 
4,4,3,7,00,00000,0000000,00000000000000,124959,35.40,0.00 ,116242,36.20,0.00 ,98523,35.60,0.00 
4,4,3,8,00,00000,0000000,00000000000000,14413,4.10 ,0.00 ,15603,4.90 ,0.00 ,16902,6.10 ,0.00 
4,5,1,1,00,00000,0000000,00000000000000,27859,51.10,48.90,24266,47.30,52.70,17279,41.00,59.00
4,5,1,2,00,00000,0000000,00000000000000,27859,67.20,32.80,24266,66.10,33.90,17279,66.70,33.30
4,5,1,3,00,00000,0000000,00000000000000,27859,77.70,22.30,24266,75.80,24.20,17279,75.30,24.70
4,5,1,4,00,00000,0000000,00000000000000,27859,80.20,19.80,24266,82.30,17.70,17279,76.30,23.70
4,5,1,5,00,00000,0000000,00000000000000,27859,59.80,40.20,24266,55.40,44.60,17279,54.50,45.50
4,5,1,6,00,00000,0000000,00000000000000,27859,57.10,42.90,24266,59.50,40.50,17279,62.50,37.50
4,5,2,1,00,00000,0000000,00000000000000,4541,16.30,16.30,3962,16.30,16.30,2700,15.60,15.60
4,5,2,2,00,00000,0000000,00000000000000,6940,24.90,41.20,5840,24.10,40.40,4147,24.00,39.60
4,5,2,3,00,00000,0000000,00000000000000,6696,24.00,65.20,5525,22.80,63.20,3901,22.60,62.20
4,5,2,4,00,00000,0000000,00000000000000,4763,17.10,82.30,4205,17.30,80.50,2754,15.90,78.10
4,5,2,5,00,00000,0000000,00000000000000,2645,9.50 ,91.80,2429,10.00,90.50,1658,9.60 ,87.70
4,5,2,6,00,00000,0000000,00000000000000,1217,4.40 ,96.20,1233,5.10 ,95.60,912,5.30 ,93.00
4,5,2,7,00,00000,0000000,00000000000000,1057,3.80 ,100.0,1072,4.40 ,100.0,1207,7.00 ,100.0
4,5,2,8,00,00000,0000000,00000000000000,27859,95.60, ,24266,94.70, ,17279,84.90, 
4,6,1,1,00,00000,0000000,00000000000000,3878,53.40,46.60,3347,53.80,46.20,2823,47.40,52.60
4,6,1,2,00,00000,0000000,00000000000000,3878,65.40,34.60,3347,65.20,34.80,2823,68.40,31.60
4,6,1,3,00,00000,0000000,00000000000000,3878,78.30,21.70,3347,78.90,21.10,2823,80.20,19.80
4,6,1,4,00,00000,0000000,00000000000000,3878,83.50,16.50,3347,81.10,18.90,2823,81.90,18.10
4,6,1,5,00,00000,0000000,00000000000000,3878,59.60,40.40,3347,57.40,42.60,2823,59.20,40.80
4,6,1,6,00,00000,0000000,00000000000000,3878,53.70,46.30,3347,65.00,35.00,2823,63.10,36.90
4,6,2,1,00,00000,0000000,00000000000000,664,17.10,17.10,682,20.40,20.40,606,21.50,21.50
4,6,2,2,00,00000,0000000,00000000000000,936,24.10,41.30,814,24.30,44.70,684,24.20,45.70
4,6,2,3,00,00000,0000000,00000000000000,932,24.00,65.30,746,22.30,67.00,586,20.80,66.50
4,6,2,4,00,00000,0000000,00000000000000,661,17.00,82.30,526,15.70,82.70,444,15.70,82.20
4,6,2,5,00,00000,0000000,00000000000000,370,9.50 ,91.90,288,8.60 ,91.30,224,7.90 ,90.10
4,6,2,6,00,00000,0000000,00000000000000,160,4.10 ,96.00,133,4.00 ,95.30,121,4.30 ,94.40
4,6,2,7,00,00000,0000000,00000000000000,155,4.00 ,100.0,158,4.70 ,100.0,158,5.60 ,100.0
4,6,2,8,00,00000,0000000,00000000000000,3878,98.60, ,3347,97.30, ,2823,92.30, 
4,7,1,1,00,00000,0000000,00000000000000,29620,60.60,39.40,27397,67.00,33.00,25558,56.60,43.40
4,7,1,2,00,00000,0000000,00000000000000,29620,73.90,26.10,27397,77.10,22.90,25558,78.80,21.20
4,7,1,3,00,00000,0000000,00000000000000,29620,81.90,18.10,27397,84.80,15.20,25558,84.50,15.50
4,7,1,4,00,00000,0000000,00000000000000,29620,84.80,15.20,27397,88.90,11.10,25558,81.60,18.40
4,7,1,5,00,00000,0000000,00000000000000,29620,65.20,34.80,27397,67.00,33.00,25558,67.20,32.80
4,7,1,6,00,00000,0000000,00000000000000,29620,68.90,31.10,27397,76.10,23.90,25558,73.10,26.90
4,7,2,1,00,00000,0000000,00000000000000,7155,24.20,24.20,8869,32.40,32.40,6930,27.10,27.10
4,7,2,2,00,00000,0000000,00000000000000,8523,28.80,52.90,8104,29.60,62.00,7681,30.10,57.20
4,7,2,3,00,00000,0000000,00000000000000,6730,22.70,75.70,5236,19.10,81.10,5349,20.90,78.10
4,7,2,4,00,00000,0000000,00000000000000,4004,13.50,89.20,2893,10.60,91.60,2859,11.20,89.30
4,7,2,5,00,00000,0000000,00000000000000,1877,6.30 ,95.50,1235,4.50 ,96.10,1230,4.80 ,94.10
4,7,2,6,00,00000,0000000,00000000000000,685,2.30 ,97.80,464,1.70 ,97.80,502,2.00 ,96.10
4,7,2,7,00,00000,0000000,00000000000000,646,2.20 ,100.0,596,2.20 ,100.0,1007,3.90 ,100.0
4,7,2,8,00,00000,0000000,00000000000000,29620,99.30, ,27397,98.90, ,25558,95.60, 
4,8,1,1,00,00000,0000000,00000000000000,10095,56.00,44.00,9701,59.00,41.00,8330,49.90,50.10
4,8,1,2,00,00000,0000000,00000000000000,10095,64.30,35.70,9701,66.80,33.20,8330,72.70,27.30
4,8,1,3,00,00000,0000000,00000000000000,10095,82.50,17.50,9701,84.20,15.80,8330,81.30,18.70
4,8,1,4,00,00000,0000000,00000000000000,10095,84.80,15.20,9701,87.50,12.50,8330,80.60,19.40
4,8,1,5,00,00000,0000000,00000000000000,10095,61.30,38.70,9701,61.90,38.10,8330,63.10,36.90
4,8,1,6,00,00000,0000000,00000000000000,10095,68.00,32.00,9701,74.10,25.90,8330,69.70,30.30
